"ds","y"
"01-02-2022",6550
"01-03-2022",8728
"01-04-2022",12026
"01-05-2022",14395
"01-06-2022",14587
"01-07-2022",13791
"01-08-2022",8251
"01-09-2022",7049
"01-10-2022",9545
"01-11-2022",9364
"01-12-2022",8456
"01-13-2022",7237
"01-14-2022",9374
"01-16-2022",11837
"01-17-2022",13784
"01-18-2022",15926
"01-19-2022",13821
"01-20-2022",11143
"01-21-2022",7975
"01-22-2022",7610
"01-23-2022",10015
"01-24-2022",12759
"01-25-2022",10677
"01-26-2022",10947
"01-27-2022",15200
"01-28-2022",17010
"01-29-2022",20900
"01-30-2022",16205